编号,子集,问题(中文参考),证据(中文参考),正确原文(中文参考),幻觉文本(中文参考),幻觉文本(英文-判定用),LLM标注_错误片段1(英文),LLM标注_类型1,片段1对吗(Y对/P部分/N错),类型1对吗(Y/N),LLM标注_错误片段2(英文),LLM标注_类型2,片段2对吗(Y对/P部分/N错),类型2对吗(Y/N),漏标的错误-逐字复制英文,漏标类型,备注,问题(英文参考),证据(英文参考),正确原文(英文参考)
inj_0822,受控,胰液中的细胞因子浓度能否预测胰腺疾病的存在？,胰腺疾病患者胰液中的细胞因子浓度尚不清楚。促胰液素刺激可使分泌至十二指肠的胰液经内镜采集。我们旨在评估腹痛患者胰液中的细胞因子浓度，以鉴别有无胰腺疾病。自2003年1月至2004年12月，连续纳入腹痛符合胰源性的患者。患者接受上消化道内镜检查。在内镜插入前立即静脉给予促胰液素（0.2微克/千克）。从十二指肠采集的胰液立即在液氮中速冻保存，直至进行检测。胰液中白细胞介素-8、白细胞介素-6、细胞间黏附分子1和转化生长因子-β1的水平采用改良酶联免疫吸附试验测定。,细胞因子水平可在从十二指肠获取的胰液中测定，而无需直接插管至胰管。胰液中的白细胞介素-8浓度可用于鉴别正常胰腺与胰腺疾病患者。这是一种相对简单且无创的方法，有助于胰腺疾病的诊断。,细胞因子水平可在从十二指肠获取的胰液中测定，而无需直接插管至胰管。胰液中的白细胞介素-6浓度可用于鉴别正常胰腺与胰腺疾病患者。这是一种相对简单且无创的方法，有助于胰腺疾病的诊断。,Cytokine levels can be measured in pancreatic juice obtained from the duodenum without direct cannulation of the pancreatic duct. Interleukin-6 concentration in pancreatic juice can be used to discriminate between normal pancreas and patients with pancreatic disease. This is a relatively simple and noninvasive method to aid in the diagnosis of pancreatic diseases.,Interleukin-6 concentration,实体替换(entity_substitution),,,,,,,,,,Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?,"Cytokine concentration in pancreatic juice of patients with pancreatic disease is unknown. Secretin stimulation allows endoscopic collection of pancreatic juice secreted into the duodenum. We aimed to evaluate the cytokine concentrations in pancreatic juice of patients with abdominal pain to discriminate presence from absence of pancreatic disease. From January 2003-December 2004, consecutive patients with abdominal pain compatible with pancreatic origin were enrolled. Patients underwent upper endoscopy. Intravenous secretin (0.2 mug/kg) was given immediately before scope intubation. Pancreatic juice collected from the duodenum was immediately snap-frozen in liquid nitrogen until assays were performed. Pancreatic juice levels of interleukin-8, interleukin-6, intercellular adhesion molecule 1, and transforming growth factor-beta 1 were measured by modified enzyme-linked immunosorbent assa",Cytokine levels can be measured in pancreatic juice obtained from the duodenum without direct cannulation of the pancreatic duct. Interleukin-8 concentration in pancreatic juice can be used to discriminate between normal pancreas and patients with pancreatic disease. This is a relatively simple and noninvasive method to aid in the diagnosis of pancreatic diseases.
inj_0706,受控,心理困扰能否预测残疾？,评估心理困扰作为常见慢性疾病所致残疾的预测因子。一项为期10年的随访研究在一个具有代表性的队列（N=8655）中进行，该队列为18-64岁的芬兰农民，他们曾于1979年参加了一项健康调查，且在基线时具有工作能力。通过与社会保险机构的全国性登记数据库进行记录链接，识别出该队列中1980年至1990年间获批的残疾养老金。对1004名（11.6%）提前退休农民的医疗证明进行了审查，以确认并分类致残状况。基于基线时11项症状自我报告的总和评分被用作心理困扰的衡量指标。在校正年龄、性别、吸烟和体重指数后，心理困扰最高四分位数中残疾的病因特异性相对危险度（RR）（95%置信区间[CI]）为,心理困扰是残疾的一个独立危险因素。其预测意义在导致功能恶化的不同疾病之间存在差异。其关联机制可能因疾病而异。,心理困扰是死亡的一个独立危险因素。其预测意义在导致功能恶化的不同疾病之间存在差异。其关联机制可能因疾病而异。,Psychological distress is an independent risk factor for mortality. Its predictive significance varies between disorders leading to functional deterioration. The association mechanisms are likely to vary from one disorder to another.,mortality,实体替换(entity_substitution),,,,,,,,,,Does psychological distress predict disability?,"To evaluate psychological distress as a predictor of disability due to common chronic disorders. A 10-year follow-up study was carried out among a representative cohort (N = 8655) of 18-64 year old Finnish farmers, who had participated in a health survey in 1979 and were able to work at baseline. A record linkage with the nationwide register of the Social Insurance Institution was made to identify disability pensions granted between 1980 and 1990 in the cohort. The medical certificates of 1004 (11.6%) prematurely retired farmers were reviewed to confirm and classify disabling conditions. A sum score based on self-reports of 11 symptoms at the baseline was used as a measure of psychological distress. After adjustment for age, sex, smoking and body mass index, the cause-specific relative risks (RR) (95% confidence intervals [CI]) of disability in the highest quartile of the psychological d",Psychological distress is an independent risk factor for disability. Its predictive significance varies between disorders leading to functional deterioration. The association mechanisms are likely to vary from one disorder to another.
inj_0397,受控,垂体卒中：组织学特征是否影响临床表现和预后？,对一组当代垂体卒中患者系列进行回顾性分析，以确定组织病理学特征是否影响临床表现或预后。本研究对59例在弗吉尼亚大学卫生系统（弗吉尼亚州夏洛茨维尔）或南非开普敦大学Groote Schuur医院接受垂体卒中治疗的患者进行了回顾性分析。根据疾病的组织学特征将患者分为两组：一组仅有梗死，包括22例患者；另一组为出血性梗死和/或显性出血，包括37例患者。对两组之间的就诊症状、临床特征、内分泌状态和预后进行了比较。,就诊时仅表现为垂体肿瘤梗死组织学特征的患者，与表现为出血性梗死或显性出血的患者相比，其就诊时的临床特征较轻，就诊前的病程较长，预后较好。两组的内分泌替代需求相似。,就诊时仅表现为垂体肿瘤出血组织学特征的患者，与表现为出血性梗死或显性出血的患者相比，其就诊时的临床特征较轻，就诊前的病程较长，预后较好。两组的内分泌替代需求相似。,"The patients who presented with histological features of pituitary tumor hemorrhage alone had less severe clinical features on presentation, a longer course prior to presentation, and a better outcome than those presenting with hemorrhagic infarction or frank hemorrhage. The endocrine replacement requirements were similar in both groups.",pituitary tumor hemorrhage alone,实体替换(entity_substitution),,,,,,,,,,Pituitary apoplexy: do histological features influence the clinical presentation and outcome?,"A retrospective analysis of a contemporary series of patients with pituitary apoplexy was performed to ascertain whether the histopathological features influence the clinical presentation or the outcome. A retrospective analysis was performed in 59 patients treated for pituitary apoplexy at the University of Virginia Health System, Charlottesville, Virginia, or Groote Schuur Hospital, University of Cape Town, South Africa. The patients were divided into two groups according to the histological features of their disease: one group with infarction alone, comprising 22 patients; and the other with hemorrhagic infarction and/or frank hemorrhage, comprising 37 patients. The presenting symptoms, clinical features, endocrinological status, and outcome were compared between the two groups.","The patients who presented with histological features of pituitary tumor infarction alone had less severe clinical features on presentation, a longer course prior to presentation, and a better outcome than those presenting with hemorrhagic infarction or frank hemorrhage. The endocrine replacement requirements were similar in both groups."
inj_0802,受控,护士主导的术前教育能否减轻接受心脏手术患者的焦虑及术后并发症？,术前教育对心脏手术患者焦虑及术后结局的影响仍不明确。目的：本研究旨在评估护士主导的术前教育对焦虑及术后结局的有效性。研究设计为一项随机对照研究。所有因择期心脏手术入住雅典一家综合医院、且具备希腊语知识的患者均符合参加本研究的条件。干预组患者接受经过专门培训的护士实施的术前教育。对照组接受由病房工作人员提供的标准信息。焦虑测量在入院时（A）、手术前（B）及出院前（C）通过状态-特质焦虑量表（state-trait anxiety inventory）进行。样本由395例患者组成（干预组：205例，对照组：190例）。手术前一天的状态焦虑……,由护士实施的术前教育减轻了接受心脏手术患者的焦虑及术后并发症，但在减少再入院或住院时长方面并无效果。,由物理治疗师实施的术前教育减轻了接受心脏手术患者的焦虑及术后并发症，但在减少再入院或住院时长方面并无效果。,"Preoperative education delivered by physiotherapists reduced anxiety and postoperative complications of patients undergoing cardiac surgery, but it was not effective in reducing readmissions or length of stay.",physiotherapists,实体替换(entity_substitution),,,,,,,,,,Can nurse-led preoperative education reduce anxiety and postoperative complications of patients undergoing cardiac surgery?,"The effect of preoperative education on anxiety and postoperative outcomes of cardiac surgery patients remains unclear.AIM: The aim of the study was to estimate the effectiveness of a nurse-led preoperative education on anxiety and postoperative outcomes. A randomised controlled study was designed. All the patients who were admitted for elective cardiac surgery in a general hospital in Athens with knowledge of the Greek language were eligible to take part in the study. Patients in the intervention group received preoperative education by specially trained nurses. The control group received the standard information by the ward personnel. Measurements of anxiety were conducted on admission-A, before surgery-B and before discharge-C by the state-trait anxiety inventory. The sample consisted of 395 patients (intervention group: 205, control group: 190). The state anxiety on the day before su","Preoperative education delivered by nurses reduced anxiety and postoperative complications of patients undergoing cardiac surgery, but it was not effective in reducing readmissions or length of stay."
inj_0683,受控,自制酒（Raksi）能否用于保存尸体？,防腐处理是一门在死亡后使用化学物质对尸体进行彻底消毒和保存的技术。它能在尸体停放于葬礼前的状态期间使其保持栩栩如生的外观。本研究旨在探讨Raksi在被处死的大鼠中阻止尸体死后变化的有效性，并确立科学事实，即在标准防腐成分不可获得时，Raksi能否作为其替代品。50只白化大鼠被系统随机分为对照组和实验组。在实验组和对照组大鼠中，分别经心室内注射Raksi和蒸馏水以达到防腐目的，并保存48至96小时以观察死后变化。在防腐处理后48小时和72小时进行的观察显示，在实验组中，Raksi能够成功地在长达72小时（第3天）内阻止大鼠的死后变化。,本研究得出结论，如果将这一知识应用于人类尸体，可能会暂时保存尸体，从而允许延迟举行葬礼。,本研究得出结论，如果将这一知识应用于人类尸体，可能会暂时保存尸体，从而允许延迟进行尸检。,"It is concluded from the study that this knowledge if applied to dead human subjects, may preserve dead bodies temporarily allowing delayed autopsy.",delayed autopsy,实体替换(entity_substitution),,,,,,,,,,Can homemade alcohol (Raksi) be useful for preserving dead bodies?,Embalming is the through disinfection and art of preserving bodies after death using chemical substances. It keeps a body life like in appearance during the time it lies in a state prior to funeral. This study was undertaken to investigate the effectiveness of Raksi in sacrificed rats in arresting postmortem changes and establishing scientific fact whether Raksi can be an alternative to standard embalming constituent if it is not available. 50 albino rats were systematically randomized into control and experiment groups. Raksi and distilled water were injected for embalming purpose intraventricularly in experiment and control groups of rats respectively and kept for 48 to 96 hours for observation for postmortem changes. Observations made at 48 and 72 hours of embalming revealed that Raksi can arrest postmortem changes in the rats up to 72 hours (3rd day) successfully in the experimental ,"It is concluded from the study that this knowledge if applied to dead human subjects, may preserve dead bodies temporarily allowing delayed funeral."
inj_0215,受控,在人类母乳中能否检测到“高危”型人乳头瘤病毒（HPV）？,我们采用聚合酶链反应技术，评估了从21名HPV阳性母亲和11名HPV阴性母亲采集的人类母乳中是否存在HPV感染。在所研究的32份人乳标本中，未检测到“高危”型HPV 16、18、31、33、35、39、45、51、52、56、58或58 DNA。,这项初步的病例对照研究表明，人类母乳中不存在黏膜“高危”型HPV。,这项初步的病例对照研究表明，人类宫颈黏液中不存在黏膜“高危”型HPV。,This preliminary case-control study indicates the absence of mucosal 'high-risk' HPV types in human cervical mucus.,human cervical mucus,实体替换(entity_substitution),,,,,,,,,,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,"Using polymerase chain reaction techniques, we evaluated the presence of HPV infection in human breast milk collected from 21 HPV-positive and 11 HPV-negative mothers. Of the 32 studied human milk specimens, no 'high-risk' HPV 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58 or 58 DNA was detected.",This preliminary case-control study indicates the absence of mucosal 'high-risk' HPV types in human breast milk.
inj_0098,受控,在先天性巨结肠（赫什朋病）中，影像学移行区是否与标本上的无神经节细胞症水平相关？,已知先天性巨结肠造影灌肠中的影像学移行区与无神经节细胞症总长度之间的相关性是不准确的。我们研究的目的是更精确地分析这种相关性，以改善矫正手术的术前规划。1998年至2009年间，79例患者因先天性巨结肠接受了手术。所有可获得的术前造影灌肠（n=61）均由同一位放射科医生进行了单盲审阅，当存在移行区时，该医生以椎体水平来界定影像学移行区。确定了四组（直肠型、直肠乙状结肠型、长段型和无移行区），并通过Kappa一致性系数与病理报告中无神经节细胞症的长度进行相关分析。在直肠型中，19例中有8例（42%）影像学结果与病理标本一致；在直肠乙状结肠型中，35例中有20例一致,造影灌肠中影像学移行区水平与无神经节细胞症长度之间的相关性仍然较低。系统性的术前经腹腔镜或脐部切口活检是必需的。,造影灌肠中影像学移行区水平与无神经节细胞症长度之间的相关性仍然较低。系统性的术前经腹腔镜或脐部切口剖腹术是必需的。,Correlation between level of radiographic transition zone on contrast enema and length of aganglionosis remains low. Systematic preoperative laparotomy by coelioscopy or ombilical incision is mandatory.,laparotomy,实体替换(entity_substitution),,,,,,,,,,Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,"The correlation between radiographic transition zone on contrast enema in Hirschsprung's disease and the total length of aganglionosis is known to be inaccurate. The aim of our study was to analyse this correlation more precisely to improve preoperative planning of the corrective surgery. From 1998 to 2009, 79 patients were operated on for Hirschsprung's disease. All available preoperative contrast enemas (n = 61) had been single blind reviewed by the same radiologist who defined the radiographic transition zone when present in vertebral level. Four groups were determined (rectal, rectosigmoid, long segment, and absence of transition zone) and by Kappa coefficient of agreement correlated to the length of aganglionosis in the pathological report. Radiological findings were concordant with the specimen in pathology in 8 cases of 19 in rectal form (42 %), in 20 cases of 35 in rectosigmoid f",Correlation between level of radiographic transition zone on contrast enema and length of aganglionosis remains low. Systematic preoperative biopsy by coelioscopy or ombilical incision is mandatory.
inj_0834,受控,对于代偿性肝硬化患者，能否通过双功能多普勒超声检查实现食管静脉曲张的无创诊断？,代偿性肝硬化（Child-Pugh A级）患者中有30%至40%存在食管静脉曲张，而失代偿性肝硬化（Child-Pugh B级和C级）患者中有60%至85%存在食管静脉曲张。识别出有发生食管静脉曲张风险的代偿性肝硬化患者非常重要。我们以内镜检查作为参考标准，评估了一种双功能多普勒超声指数在预测代偿性肝硬化（Child-Pugh A级）患者食管静脉曲张存在与否方面的准确性。56例入组患者接受了双功能多普勒超声检查，随后进行筛查性内镜检查。测量了平均门静脉流速（PVV）、脾脏指数（SI）、脾门静脉指数（SPI）、肝动脉和脾动脉阻力指数及搏动指数（肝动脉阻力指数[HARI]、肝动脉搏动指数[HAPI]、脾动脉阻力指数[SA,SPI在预测代偿性肝硬化患者食管静脉曲张存在与否方面是准确的。,HARI在预测代偿性肝硬化患者食管静脉曲张存在与否方面是准确的。,The HARI was accurate in predicting the presence or absence of esophageal varices in patients with compensated cirrhosis.,HARI,实体替换(entity_substitution),,,,,,,,,,Is non-invasive diagnosis of esophageal varices in patients with compensated hepatic cirrhosis possible by duplex Doppler ultrasonography?,"Esophageal varices are present in 30% to 40% of patients in compensated cirrhosis (Child-Pugh class A) and in 60% to 85% of patients in decompensated cirrhosis (Child-Pugh classes B and C). It is important to identify patients with compensated cirrhosis at risk for esophageal varix development. We evaluated the accuracy of a duplex Doppler ultrasonographic index for predicting the presence or absence of esophageal varices in patients with compensated hepatic cirrhosis (Child-Pugh class A) by using endoscopy as the reference standard. Fifty-six enrolled patients underwent duplex Doppler ultrasonography followed by screening endoscopy. Mean portal vein velocity (PVV), splenic index (SI), splenoportal index (SPI), hepatic and splenic arterial resistive, and pulsatility indices (hepatic artery resistive index [HARI], hepatic artery pulsatility index [HAPI], splenic artery resistive index [SA",The SPI was accurate in predicting the presence or absence of esophageal varices in patients with compensated cirrhosis.
inj_0645,受控,胰十二指肠切除术后的胃排空延迟是否与保留幽门有关？,胃排空延迟（DGE）是保留幽门的胰十二指肠切除术（PPPD）后最常见的术后并发症。本前瞻性、非随机研究旨在确定将原有的结肠后十二指肠空肠吻合重建解剖结构改良为结肠前十二指肠空肠吻合是否可降低DGE的发生率。本研究纳入了1994年8月至1997年11月间接受PPPD的51例患者。手术按最初描述的方式进行，但通过结肠前实施十二指肠空肠吻合加以改良。前瞻性记录临床数据，特别关注DGE。PPPD后，鼻胃管可在术后中位2天（范围1至22天）拔除；其中2例患者因呕吐和恶心重新插入鼻胃管。流质饮食于中位第5天开始……,PPPD后的DGE在无并发症的手术后似乎临床意义较小。综合考虑这些结果，可以认为，尽管缺乏对照组，结肠前十二指肠空肠吻合可能是PPPD后DGE发生率低的关键所在。根据我们的经验，DGE与其他术后并发症的发生有关，而非与保留幽门有关。,PPPD后的DGE在无并发症的手术后似乎临床意义较小。综合考虑这些结果，可以认为，尽管缺乏对照组，结肠前十二指肠空肠吻合可能是PPPD后DGE发生率低的关键所在。根据我们的经验，DGE与其他术后并发症的发生有关，而非与保留幽门有关，且预防性使用红霉素进一步将DGE发生率降低至2%。,"DGE after PPPD seems to be of minor clinical importance following uncomplicated surgery. When taking the results into consideration, it can be said that, despite the lack of a control group, antecolic duodenojejunostomy might be the key to a low incidence of DGE after PPPD. In our experience, DGE is linked to the occurrence of other postoperative complications rather than to pylorus preservation, and prophylactic erythromycin further reduced DGE rates to 2%.",and prophylactic erythromycin further reduced DGE rates to 2%,凭空捏造(invented),,,,,,,,,,Is delayed gastric emptying following pancreaticoduodenectomy related to pylorus preservation?,"Delayed gastric emptying (DGE) is the most frequent postoperative complication after pylorus-preserving pancreaticoduodenectomy (PPPD). This prospective, non-randomized study was undertaken to determine whether the incidence of DGE may be reduced by modifying the original reconstructive anatomy with a retrocolic duodenojejunostomy towards an antecolic duodenojejunostomy. The study was comprised of 51 patients who underwent PPPD between August 1994 and November 1997. The operation was carried out as originally described but was modified by performing the duodenojejunostomy antecolically. Clinical data were recorded prospectively, with special regard to DGE. After PPPD, the nasogastric tube could be removed at a median of 2 days (range 1-22 days) postoperatively; in two patients, the nasogastric tube was reinserted because of vomiting and nausea. A liquid diet was started at a median of 5 ","DGE after PPPD seems to be of minor clinical importance following uncomplicated surgery. When taking the results into consideration, it can be said that, despite the lack of a control group, antecolic duodenojejunostomy might be the key to a low incidence of DGE after PPPD. In our experience, DGE is linked to the occurrence of other postoperative complications rather than to pylorus preservation."
inj_0736,受控,对于高危转移性乳腺癌患者，一线单药米托蒽醌治疗是否与联合化疗同样有效？,为确定高危转移性乳腺癌患者是否能从作为一线治疗的联合化疗中获益。共有260名患有可测量的转移性乳腺癌、符合高危标准、且此前未针对其转移性疾病接受过化疗的女性，被随机分配接受米托蒽醌12 mg/m(2)，或氟尿嘧啶500 mg/m(2)、表柔比星50 mg/m(2)和环磷酰胺500 mg/m(2)（FEC）的联合方案，每3周一次。治疗持续至完全缓解后再加两个周期，或直至疾病进展。在部分缓解或疾病稳定的情况下，治疗在12个周期后停止。二线治疗为长春地辛、丝裂霉素和泼尼松龙。采用由疾病进展时间、患者对治疗获益的评分、脱发、呕吐等组成的改良Brunner评分来估计治疗获益。,在缓解率或生存率方面，米托蒽醌单药治疗与低剂量FEC联合方案之间未检测到显著差异；因此，对于高危转移性乳腺癌患者，一线联合化疗之必要性的强制性观点可能值得质疑。由于毒性和生活质量评分均有利于米托蒽醌单药治疗组，因此对于那些相比生存期可能略有延长更看重生活质量的患者，可以提供这种治疗。,在缓解率或生存率方面，米托蒽醌单药治疗与低剂量FEC联合方案之间未检测到显著差异，两组的中位总生存期均为27个月；因此，对于高危转移性乳腺癌患者，一线联合化疗之必要性的强制性观点可能值得质疑。由于毒性和生活质量评分均有利于米托蒽醌单药治疗组，因此对于那些相比生存期可能略有延长更看重生活质量的患者，可以提供这种治疗。,"No significant difference was detected between the treatment with mitoxantrone as a single agent and the combination of low-dose FEC in terms of response or survival, with a median overall survival of 27 months in both arms; therefore, the imperative of the necessity of first-line combination chemotherapy for patients with high-risk metastatic breast cancer may be questioned. Since toxicity and quality of life score favored the single-agent mitoxantrone treatment arm, this treatment may be offered to patients preferring quality of life to a potential small prolongation of survival.",with a median overall survival of 27 months in both arms,凭空捏造(invented),,,,,,,,,,Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy?,"To determine whether patients with high-risk metastatic breast cancer draw benefit from combination chemotherapy as first-line treatment. A total of 260 women with measurable metastatic breast cancer fulfilling high-risk criteria, previously untreated with chemotherapy for their metastatic disease, were randomized to receive either mitoxantrone 12 mg/m(2) or the combination of fluorouracil 500 mg/m(2), epirubicin 50 mg/m(2) and cyclophosphamide 500 mg/m(2) (FEC) every 3 weeks. Treatment was continued until complete remission plus two cycles, or until disease progression. In the case of partial remission or stable disease, treatment was stopped after 12 cycles. Second-line treatment was vindesine, mitomycin and prednisolone. Gain from treatment was estimated using a modified Brunner's score composed of time to progression, patients' rating of the treatment benefit, alopecia, vomiting and ","No significant difference was detected between the treatment with mitoxantrone as a single agent and the combination of low-dose FEC in terms of response or survival; therefore, the imperative of the necessity of first-line combination chemotherapy for patients with high-risk metastatic breast cancer may be questioned. Since toxicity and quality of life score favored the single-agent mitoxantrone treatment arm, this treatment may be offered to patients preferring quality of life to a potential small prolongation of survival."
